label,psd1,psd2,psd3,psd4,psd5,psd6,psd7,psd8,psd9,psd10,psd11,psd12,psd13,psd14,psd15,psd16,psd17,psd18,psd19,psd20,psd21,psd22,psd23,psd24,psd25,psd26,psd27,psd28,psd29,psd30,psd31,psd32,psd33,psd34,psd35,psd36,psd37,psd38,psd39,psd40,psd41,psd42,psd43,psd44,psd45,psd46,psd47,psd48,psd49,psd50
0,3.2311742677852644e-25,455432.52103619964,2878725.3147529317,1588927.6265492178,3529574.8500839537,15028296.009450054,6520935.899613345,1683552.2257913616,1333954.7018789689,2269933.223804507,2643719.017653708,382608.30457431875,2986085.1288036476,3916232.2943006414,824552.7537949425,736926.4433433211,1471340.495827226,695558.248368675,1727832.290507159,58761.64770148824,73782.80440787257,596153.8218148248,400226.9160458443,1024020.5052415925,145348.59519790672,394836.51999999984,411986.58130734443,483567.38446930517,93279.98425273142,293906.0155350388,153094.132346292,258095.22580478288,71423.65110753328,24373.680414804352,40620.19400594058,261961.0159886793,271136.4827592056,94122.72064560831,368373.7209032539,227582.13772419887,58536.46559212736,423656.1346223094,52531.45751856896,138275.59136682737,5115.8343374940605,21529.711217944176,58509.471550673516,45439.2451425953,285361.27575133013,130991.24509170125
0,0.0,661373.8276565203,2451578.0445927833,1542479.757889179,4376272.672813993,16037803.739855986,5968187.288661231,1933519.3729945987,739954.6557240643,1670641.1534163174,1988162.3079285708,437464.2770552105,2901199.1417323714,4678426.429209693,1445712.9704751922,582926.6187215403,1624670.0235468114,704996.3006096239,2482171.7183821825,119672.84097299879,399393.86284426495,197701.61707457618,118886.61552908344,776406.761630211,48399.30127395476,96568.41999999994,110240.95967232386,673069.4066288357,70671.42079023167,868545.6211394981,108398.21207142915,115754.17672113034,258349.14080663328,255733.19659742588,487347.63260486454,249489.05532466737,179059.9324769587,174407.6227615352,35049.798526079845,76273.89409763683,158947.23715573503,28845.75754073809,122289.59549335756,63551.40177805617,13601.328439228986,48421.76609780605,77717.92606290038,225376.72466544335,101858.53239575405,356702.759560772
0,3.308722450212111e-26,288414.8964320403,3698360.322829125,1333708.1543048318,7534898.719024729,7603970.023189719,7763073.68259475,2436720.7837333153,3114064.451227985,1147445.4100561154,2897903.99302745,200957.08168247392,1491123.947579418,2507034.4796124236,689135.125869829,582951.722861485,209212.80224037584,1084322.0355718513,441567.75847443397,198477.55484091886,180602.2577336065,454720.93233179615,187571.0288481076,749164.8540341865,207011.88936979073,659979.4100000003,208536.08834003287,995348.6008390867,134816.45420282942,91253.17031299045,191589.37697255015,488166.0831361783,189787.41630186336,6374.637041767502,218840.54155845428,263512.9477133977,607035.884293263,347553.0392385239,156866.30086729818,76396.49086593943,14110.472266393464,69168.24461318059,20167.115078827337,80647.7973923797,21291.712495751915,2051.4462354010902,18867.285539143315,160061.70535714907,75125.973263994,86817.74860285126
0,4.968253554146622e-25,323352.64695944043,5718423.016666552,900495.6902413766,5888778.49806405,6795449.205521872,8967648.445403427,687889.4772769101,2399274.0239550206,2334470.125459603,2089841.3251267725,49979.44802232312,1687977.8570516098,2875120.1216672594,249131.32692337723,279263.10129377956,47216.410702526926,1289645.5660819213,1206866.1860500937,372547.0037924887,7689.450768292375,52501.55459533551,71221.61469051409,581463.0177349811,430114.4155987746,302412.89000000025,230603.964791166,1111259.9512624377,360188.6421625149,325482.897234684,301940.4248732266,317186.5676146693,73897.48727839331,16714.31196806813,51300.18925715401,147599.04452953185,300751.4566120646,171680.63138386127,415293.53612163523,168111.23442690514,423652.31923170754,55076.8972212518,227621.18791278705,60006.33438037368,113865.86349193915,70837.20865481759,33328.53218329314,92974.50637011156,116074.54508310203,166045.81630599726
0,1.3234889800848443e-25,545801.1536116144,6206401.559459083,2402678.9971327367,1912949.2812284313,2631541.8727474697,11438071.275160551,2422562.9348684954,1123554.7375674706,455424.71529728314,2677725.342026188,2473483.339173325,397718.83793295204,2011004.1576149715,2448842.814746639,103462.25245923543,639594.5712772146,559881.3531501435,630038.2893052668,364093.9012012052,330898.8829857753,132629.7704631959,915902.2217963557,238083.52347888294,577691.6907496675,1784.2500000000068,584135.4794726429,332894.5681833218,471301.09649465675,33113.363860013334,222610.9379738115,331769.3106915123,325545.9258172363,243382.4628045383,148999.66173395637,67302.0962169335,421783.34970156127,164910.63634697214,100836.00878794717,29702.777569963284,16623.017014224733,432595.691323987,187301.05685629597,276258.43285023654,228839.3073448146,116494.07857636208,144044.4826812587,227762.08713447713,80679.55188599406,68000.02324312553
0,1.6750407404198812e-25,398592.3716750692,4856640.2820556555,1880123.5727225835,4490544.284497695,5281270.26984112,8048212.464951132,3722994.085155281,1237195.3853799608,185280.7645461113,2844940.8850438274,883655.5673717168,1009116.2374180317,2984414.0609813463,2099306.3814221546,112975.38366418878,668849.0671713182,130845.2464309069,1123031.8680865786,324034.6921077461,199188.41767560126,32133.770104710064,862783.5535703794,3003.8985101233643,674173.5098468523,200340.01999999993,242648.963107129,1022426.1230452961,406637.44372071716,76985.02358775424,165374.78495617287,269279.19089612726,660779.6938795621,290207.22657164576,1771.950557336836,218552.46999036867,148390.58302569596,298114.4829650784,188567.65296101104,122853.15844128579,104662.51232439878,133455.79595955825,207982.31959888415,146527.31826249632,154096.71892301695,117008.55650432152,93709.1636897356,218459.33919390512,185255.9761371519,38467.61147125766
0,1.8611563782443122e-26,471970.9244671269,3428604.627665276,1697264.5341085226,7574804.091700375,6981460.511735409,8887169.850819446,1811457.9999251245,2396868.003403652,1127151.0391954223,1438383.1537406829,605623.8005589797,703948.8759774561,2328995.0774934907,1878929.899121936,962202.8963762246,239890.8784462722,802700.2297556215,509063.8846959035,884760.5131094573,173834.81967170085,181120.27159469086,213076.25591137182,123292.98653426506,718481.8181183095,11767.129999999986,170670.7336471862,1178548.4601932627,1064245.8737338146,709336.1491547653,596334.0662593176,417914.85237576463,54665.80267745695,146549.2315420731,380241.3797954563,262787.9689885505,269621.9073147749,40780.39745529452,65643.04682045152,108105.47386237007,99049.66032829905,340509.9921589169,108918.28241194486,226325.42402967392,44705.36396973717,98391.04289981503,151152.43911102673,193196.76202439738,220451.08465815068,286718.5804607787
0,2.0679515313825692e-25,930754.5369206265,3313823.454526995,1964192.1218841106,6802773.199801368,7779696.883735788,6940095.3480623355,2872044.4645218467,2144121.959270335,908281.3038680963,2518868.4156708815,217196.30100416308,1842414.6761601332,2842350.584314485,400921.9644827688,785748.8277472113,94763.48003300763,601639.4860014047,1018010.7935917844,373155.5322161236,20071.23225160202,231058.59426671188,334538.9162087794,656085.8899620709,446460.6812362795,504007.0099999998,280866.01675961306,795865.1193002153,127514.51135140393,29217.838715976734,148869.51432911848,890866.0369281793,365028.3356898903,136519.92344613327,64235.38682551712,73574.45200063835,488989.4511315664,390740.61618178495,108179.61386557862,37600.6157449429,73923.59774839797,171481.06737529594,235475.7589750109,258687.98133449018,200741.16425549818,236123.67651636244,178486.94670161905,156021.7488385036,144630.74107051836,179941.63717483898
0,3.308722450212111e-26,1568005.7954981588,3190576.5559348157,1358827.4593045677,7102598.017863791,9491080.856937943,5890668.082733831,4204913.019650874,1541203.8717826451,1428664.678327883,950065.1404723971,623045.8735196016,3924658.671598981,3889681.096253957,123093.89522772237,1131147.2045616047,204303.5340155926,1407896.253063469,1547396.3211799357,249551.0869438341,143573.89583249963,219108.80247425515,295646.58696817304,195817.2300667461,291013.69401794276,808624.26,263515.81233701395,452771.3687888356,359663.2405559384,117049.46202199938,49162.22952760274,459863.88283709146,143519.33932472952,463519.90858431,320173.1478502167,64859.027523653705,100822.20082648227,34922.04304698612,486342.47711899795,156181.97800302593,322401.9341675004,178640.16224107373,260997.07220166427,101940.75533315893,72063.82747362756,266600.1509767979,307352.5984476285,109464.41563662133,71460.25254026911,370763.72840355115
0,2.9778502051908995e-25,1215263.3819260306,5787512.038487635,2323036.886905283,1057268.5197054564,1982508.6479188935,11310263.507838987,1247976.8081213583,1516095.300954296,940784.4540811402,1577235.0626335398,2004427.4307132298,636146.5508659661,2397740.9747469616,1971318.1493647147,116476.2110116147,532316.7108133647,800548.6057968659,643362.2504809364,333683.3821040445,277337.56113328255,399879.52782018244,975154.2619860133,417794.888416223,577274.5026932408,37901.79999999997,827074.2918619433,340772.6213236361,353449.4980973776,37097.08280660086,413854.4873664605,401193.9348998751,356960.73757907137,77238.37463270631,15320.266318190184,138822.78845998028,442860.104948605,151004.08246254292,104244.56257105552,55959.28231141592,54317.70886671748,153646.6505858616,138161.6736700704,368486.64112311724,240303.00207102674,127257.45260951137,48589.94742045512,140923.98672582893,106347.12227159452,118111.6024970949
