label,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100
1,2022,4,18,14,0,73,2574,3103,24,702,18,16,17,17,3386,3162,2926,2600,19,16,16,2567,2486,621,16,17,16,1974,2580,2606,577,18,17,16,29,1548,654,284,17,16,18,17,640,142,18,17,18,1105,3176,2764,2360,1819,18,18,19,18,18,17,18,17,37,1530,3153,3198,2704,1770,104,18,17,16,18,18,17,17,18,17,17,17,18,18,18,19,18,18,18,28,1066,912,18,18,17,326,1790,2298,1554,904,934,1490,2563,2974
1,2398,19,19,18,8,2310,2953,250,91,16,17,19,22,3407,3339,2798,2528,16,16,16,2818,1819,16,14,17,16,2836,2442,2843,22,17,17,16,736,2290,962,86,17,16,18,17,741,428,18,18,18,522,3258,2725,2192,1854,219,17,17,18,18,16,18,17,496,2336,3159,3168,2688,1736,237,17,17,18,18,18,18,17,17,18,18,15,17,18,17,18,18,18,17,27,946,844,18,16,16,51,1566,2376,1997,1143,1040,1539,2515,2986,2368
2,3779,2811,2414,306,16,18,17,18,18,18,18,17,17,18,17,829,2840,2266,2232,20,18,17,18,24,2538,644,18,17,18,2205,2758,2311,1843,148,18,18,18,18,17,18,17,18,17,18,17,17,24,17,18,18,17,18,19,18,18,17,18,18,17,361,1515,1750,499,17,18,16,531,2374,2630,1402,17,16,17,17,16,17,17,16,18,17,17,17,17,17,18,18,18,17,18,18,18,23,911,1182,1122,1100,1738,2108,1896,1180
2,3834,2408,2352,425,16,17,17,17,18,17,18,18,18,17,18,980,2972,2350,1896,28,23,18,18,18,2371,561,18,16,17,2232,2750,2445,1678,18,16,16,17,17,17,16,17,18,17,17,16,16,22,17,18,17,18,16,17,16,17,17,18,27,258,1011,2154,1786,489,26,19,23,1170,2863,2438,848,17,17,17,18,18,18,18,18,18,18,17,18,18,18,17,18,18,18,19,18,18,382,1384,1378,1248,1507,2179,2058,1649,498
2,3190,3362,1745,17,17,17,17,16,17,17,18,18,18,17,25,1310,2650,2027,1131,18,17,18,17,508,2958,548,18,18,616,2844,2251,1995,1180,18,18,17,17,17,18,18,19,17,16,17,17,18,17,17,18,17,18,18,18,18,18,18,19,18,27,566,1544,1187,21,18,16,17,925,2558,2459,1080,17,16,18,16,17,17,17,16,17,16,16,17,17,17,16,16,17,18,17,17,17,30,922,1021,1068,1197,1887,2095,1774,978
2,3418,3184,2630,17,18,16,16,17,17,16,17,16,18,17,31,1770,2540,1888,957,17,17,17,16,264,2678,941,17,26,546,2780,2490,1626,1250,19,17,17,18,18,17,17,26,17,17,17,17,18,18,18,18,17,18,17,18,17,16,17,18,65,536,1122,1749,978,19,17,17,17,970,2611,2502,1066,18,18,18,18,18,18,18,17,16,18,18,17,17,17,16,17,17,16,16,17,17,29,931,1085,1044,1152,1806,2043,1738,854
2,2390,31,18,16,12,17,17,18,16,17,18,16,17,16,16,571,2024,1570,1978,18,17,16,17,452,2254,1022,22,668,1322,2722,1872,1167,768,18,18,18,16,16,18,18,23,17,18,18,18,18,18,17,18,17,18,18,17,17,18,16,18,17,26,379,1006,450,17,17,18,17,335,1630,2115,1112,25,16,17,17,17,17,17,18,18,18,18,18,17,18,18,18,18,17,17,17,17,17,338,600,666,687,1065,1502,1479,1122
2,1822,1566,17,18,16,16,17,16,18,17,17,17,18,17,496,2327,2331,1294,548,19,18,17,18,902,3050,372,17,34,1256,2870,2172,1418,413,17,18,17,17,17,17,17,18,17,18,17,17,17,18,18,18,18,18,19,17,19,19,18,18,31,564,1115,1664,608,17,17,17,22,1514,2744,2114,417,16,16,16,16,16,15,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,294,1099,1184,1052,1554,2070,1899,1328,260
3,3948,2590,3707,19,18,15,18,17,18,17,17,26,18,18,30,3314,2102,1324,1474,17,13,18,18,2703,3318,18,16,17,285,3262,3011,1992,744,16,16,17,17,17,17,1354,2610,988,882,1763,1986,17,17,18,16,17,17,17,578,2341,3106,3066,2498,2080,25,17,17,17,17,166,3147,2942,1754,25,17,18,18,18,18,18,98,514,674,764,1696,2024,1292,17,18,18,17,29,2344,2944,2660,2108,1986,2514,2202,1493,18,18,17,17,17,17
3,3750,2923,3474,19,18,18,17,18,17,18,17,17,17,18,704,3174,1606,3070,1686,19,17,18,18,3355,2580,20,17,17,1346,3060,2554,2604,17,16,16,18,18,18,18,1647,2108,155,500,1692,2010,18,18,16,17,17,18,18,516,2338,3171,2958,2490,2107,69,19,18,18,18,614,3208,2840,1560,17,17,18,17,17,17,16,584,1114,952,1046,1950,1611,310,16,17,17,17,1328,3098,2635,2304,1950,2296,2322,1851,197,18,18,18,17,18,18
