label,dom_freq,sum_E,decay_rate,spec_ent
4,44240,196418282,-959.8000000000002,4.156900724073474
4,49770,224782079,-964.1000000000003,4.150283011987324
5,60830,292874661,-804.8999999999994,4.167680561734159
5,55300,269905610,-1200.8000000000004,4.101683777227212
6,82950,199455815,-982.0000000000002,4.452454109699131
6,33180,138860578,-792.4999999999997,4.214436628498966
7,66360,231776006,-996.2000000000002,4.36853688985929
7,66360,222177281,-1025.8000000000002,4.342969895894235
8,27650,105681365,-961.0000000000002,3.8539749424374192
8,27650,81431184,-673.5000000000002,3.8312076292667143
0,138250,210127843,-4009.9999999999995,4.019455743955039
0,127190,196066490,-3129.9999999999995,4.055295590263027
0,143780,243290745,-3855.9999999999995,4.245780480278837
0,143780,204756918,-3373.9999999999995,4.130252179619211
0,143780,229557147,-4014.0,4.140711713765053
1,132720,311226465,-1995.0,4.250865103093917
1,143780,267424422,-3233.999999999999,4.182701310378505
1,143780,336592333,-3799.0,4.250923501919433
1,138250,349661920,-2475.999999999999,4.303091667105156
1,143780,245639595,-3427.0,4.236280552233796
2,138250,131481161,-1719.9999999999998,4.114126400680163
2,143780,219928629,-1804.000000000001,4.448597515155505
2,138250,175882992,-3343.999999999999,4.316552109528326
2,143780,209122847,-3045.9999999999995,4.433462363660831
2,143780,164403863,-951.7999999999998,4.236123296253061
3,71890,177061737,-1120.0,4.3208689435791126
3,71890,230512891,-603.2999999999997,4.315463119134262
3,94010,152993872,-1207.0,4.256868360521915
3,149310,227381489,-881.1000000000004,4.398584269605057
3,71890,224028502,-1411.9999999999998,4.36748749883127
4,44240,171299830,-1027.3999999999999,4.076272209112803
4,44240,191233754,-1308.0000000000002,4.14814764633758
4,77420,218208734,-1533.0,4.041863429792393
4,77420,206214883,-1061.7,4.128429964513305
4,44240,172941561,-1376.0000000000005,4.068105817804833
5,44240,309896683,-1056.4,4.117619302274578
5,44240,288484838,-1113.0,4.150353163466345
5,44240,299213139,-1023.5000000000001,4.213551310044966
5,44240,315552697,-1078.2,4.201874488834731
5,44240,291180394,-1055.1000000000004,4.213261328086478
6,66360,108434239,-921.2000000000004,4.061018034172921
6,66360,131318919,-1004.7999999999998,4.074223144067269
6,66360,104671115,-912.5000000000001,4.019471161515266
6,66360,128553731,-993.6000000000004,4.148922057035628
6,66360,133609814,-775.1999999999996,4.06519666122675
7,66360,213495064,-1007.0999999999999,4.373158886609881
7,66360,238304536,-992.2,4.381932917398176
7,66360,261924133,-934.1999999999998,4.466885444286406
7,66360,220586352,-997.8000000000001,4.265521847431293
7,71890,279089275,-891.2999999999996,4.494670870968628
8,44240,127248570,-1228.9999999999998,3.8271096055060068
8,44240,95258990,-437.6,3.8107209056998657
8,27650,112042632,-1211.0,3.762361776024349
8,27650,109747570,-1260.0,3.6979190389632843
8,44240,114289373,-809.0000000000005,3.9008451544970617
