label,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100
5,2789,3094,2510,17,15,18,18,16,858,2166,2390,3162,2414,18,16,17,17,1222,2910,2093,634,16,16,28,1523,2966,2762,2066,835,539,2058,2830,2157,590,17,307,1578,1802,524,16,16,17,18,16,16,16,77,921,972,219,17,16,17,16,18,18,19,17,1545,2856,2482,2144,1920,1322,17,16,17,18,16,16,616,2600,3006,2730,1795,19,16,18,17,17,16,17,16,17,17,16,18,17,18,17,17,17,16,16,16,17,16,17,17,17
5,3000,2792,766,17,16,17,16,443,1278,266,3514,2723,18,14,16,16,16,3393,2152,495,17,17,17,17,1891,3106,2712,2014,18,17,18,3104,2442,1028,18,17,16,1854,1766,740,16,17,16,17,17,26,47,205,440,17,17,15,16,28,16,16,17,17,744,3154,2531,1716,1172,547,16,16,16,17,16,16,14,813,2314,3003,2910,2266,616,17,16,16,17,17,16,16,17,17,17,17,18,16,16,16,16,16,17,17,16,16,16,17
5,1048,2869,2728,1523,18,17,17,17,17,17,17,16,17,17,16,18,17,24,561,898,766,571,931,1782,3280,3144,1749,18,16,17,16,1242,571,16,17,17,16,18,22,1850,2574,1484,16,16,17,23,1711,2058,819,385,2160,3024,2734,2238,66,16,16,16,16,16,17,16,18,18,17,16,16,20,26,16,16,17,17,2328,2854,2396,1706,794,21,17,17,17,17,16,17,17,16,16,24,690,1079,802,489,451,700,1226,2003,2568,2485,2119
5,2110,3370,3075,444,9,11,16,16,2246,2888,1858,17,16,18,19,3150,3148,2766,1462,17,16,1368,3101,2609,782,16,16,17,1208,2440,1114,16,17,16,16,16,166,442,17,17,17,17,16,17,15,14,17,16,1215,3174,2974,2646,1838,16,16,16,16,16,16,15,15,17,1254,3032,3014,2734,1970,509,16,16,16,16,16,16,16,16,16,16,16,15,15,16,16,17,17,18,16,16,16,16,16,17,16,996,2334,2576,2113,1680,1902,2730
6,1185,1462,1306,918,522,81,18,17,17,17,17,17,17,17,18,17,18,18,16,17,17,17,18,232,54,265,2278,2738,2243,424,18,16,17,17,16,17,18,17,17,18,18,17,18,19,18,18,18,18,19,17,18,90,107,18,18,105,1302,2222,2126,1694,887,44,17,18,18,18,198,144,18,18,17,18,17,18,17,18,17,17,16,18,17,18,18,18,18,19,18,128,102,17,16,18,17,28,907,1816,2042,1450,819,691
6,1470,1768,1494,884,354,25,16,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,135,516,804,1007,1251,1515,1715,1758,1594,1258,844,534,330,210,84,24,18,18,17,17,33,652,1017,883,584,333,24,18,18,19,18,17,16,17,18,18,27,128,25,17,18,17,117,1135,1890,1795,1612,1810,2097,2051,1658,950,259,18,17,18,20,24,22,18,18,17,17,18,18,18,17,18,18,18,26,280,595,776,840,814,786
6,1189,1756,1784,1366,734,114,18,19,16,18,18,18,16,18,18,156,1956,2712,1850,18,18,17,17,18,18,17,18,17,18,20,793,1651,1720,794,19,18,18,19,18,285,834,739,517,588,978,1200,992,706,341,18,18,17,17,17,17,38,172,18,17,18,17,19,18,17,18,27,500,740,488,26,18,17,18,18,18,18,21,25,18,18,18,18,25,738,1478,1462,578,23,18,19,25,24,18,18,25,121,350,570,704,605
6,2766,2952,2117,20,17,18,18,17,19,20,18,18,16,18,25,1466,2858,2751,1802,18,17,18,18,19,151,16,17,18,28,2178,2814,2492,1676,17,17,18,18,18,18,899,975,18,18,17,193,1606,1012,18,18,18,17,17,17,18,18,16,21,429,1275,1974,1271,20,18,18,18,1395,2826,2230,552,18,18,16,17,17,16,16,18,18,17,17,18,18,503,814,314,18,18,17,17,18,25,318,488,771,1364,2064,2304,2054,972,18
6,1106,1530,1416,1038,618,173,18,17,18,18,18,18,18,19,19,24,24,18,18,2136,2578,1980,19,18,18,18,18,18,19,17,17,18,18,18,59,338,63,19,18,18,18,17,17,270,1280,401,17,18,288,1522,1698,1178,650,18,16,16,18,18,243,478,16,17,17,18,18,169,408,35,26,153,25,18,18,18,18,18,18,18,87,935,1249,338,18,17,18,26,930,1758,1614,591,34,165,538,430,27,18,23,26,21,18
6,1437,1640,1410,968,509,27,17,18,17,17,16,18,18,18,18,19,19,18,18,18,890,2112,2128,996,91,21,28,259,396,335,47,19,18,17,18,19,19,19,18,18,17,19,18,18,324,616,428,218,358,799,1088,1112,1044,718,266,24,19,23,29,27,19,17,18,18,18,18,348,556,636,846,812,344,18,17,18,19,18,18,19,86,203,24,17,19,18,18,60,555,912,860,588,548,900,1282,1238,944,792,691,505,286
7,2165,2590,2206,955,18,17,17,17,17,16,18,19,17,1934,3168,2648,593,17,17,19,18,19,18,18,18,18,988,3182,3082,2650,2186,19,18,18,18,16,17,930,437,151,715,2568,2836,2154,1374,19,18,17,19,18,17,18,395,27,17,18,278,1579,1859,335,17,17,18,17,16,19,122,472,1212,2084,2640,2166,294,18,18,18,84,2360,2894,2162,26,18,17,18,19,18,19,17,18,17,18,520,1830,2502,2106,954,19,18,18,17
7,3336,3298,3128,2027,15,12,15,18,17,17,477,22,18,962,3150,3064,3000,2378,19,18,19,17,1348,2975,1612,18,699,3306,3166,2978,2378,19,15,15,16,17,18,502,2668,2005,18,18,18,408,1495,1075,18,17,18,18,17,18,330,2733,3094,3042,2866,2179,27,17,19,18,1091,3138,2813,1351,18,18,17,17,18,17,17,17,16,17,349,1599,2200,1144,18,18,18,16,17,970,3080,2952,2684,2498,2606,2632,2382,1292,18,17,18,18,17,24
7,2158,2686,1928,71,18,17,18,18,260,3106,2035,941,16,17,18,19,18,17,18,18,18,18,1178,3050,2670,2557,578,18,18,18,1037,3050,1643,163,562,2364,2984,2222,589,17,17,17,18,18,18,162,1470,1218,17,17,17,18,17,18,18,17,17,16,17,16,17,29,1064,3034,2974,2827,1705,18,18,17,18,17,1018,2264,1464,16,17,17,17,17,18,18,17,17,17,18,17,275,890,534,18,18,19,18,17,447,2244,2626,2120,1646
7,1499,2938,2862,2410,645,18,18,19,19,18,18,18,18,17,19,734,1819,2302,1804,506,17,17,18,688,2162,2776,2758,2802,2658,2626,2659,2475,1731,25,17,18,18,18,18,18,19,18,18,18,17,16,18,237,347,18,17,16,17,18,17,116,1971,2958,2912,2751,2408,1846,1412,1366,1391,1131,638,186,17,18,16,16,17,18,18,17,17,17,16,18,17,17,18,18,18,18,18,30,1194,2386,2504,2292,2304,2635,2778,2626,2130,1001,18,17
7,2276,2673,2104,669,17,17,18,18,16,18,17,17,18,17,18,117,254,23,17,16,16,17,233,3162,2710,2690,1132,18,18,18,18,17,17,18,19,18,18,18,18,17,18,18,18,18,17,28,2378,2610,2064,2154,2714,2626,1512,155,17,17,16,17,17,22,154,140,17,17,17,17,200,664,18,17,17,18,18,17,16,16,18,16,27,974,1746,1888,842,18,16,17,16,17,34,1238,1848,1446,967,709,406,92,88,365,518,288
7,2960,2839,2227,19,18,17,18,18,17,17,17,17,18,18,700,1730,2142,1428,19,18,17,18,243,1963,2580,2458,2614,2520,2822,2862,2466,983,18,18,18,18,17,16,17,18,18,17,18,17,18,316,521,138,18,17,18,18,18,28,596,1418,2819,2982,2708,1944,475,17,17,26,774,1291,980,260,17,18,18,18,18,18,18,18,16,16,17,16,18,17,17,18,18,17,16,151,1380,2162,2047,1790,2130,2842,2831,2442,1392,18,18,19
